0.978571 0.000000 0.002041 0.003061 0.002041 0.001020 0.006122 0.001020 0.006122 0.000000 
0.000000 0.977974 0.003524 0.002643 0.000881 0.002643 0.003524 0.000881 0.007930 0.000000 
0.010659 0.003876 0.875000 0.015504 0.015504 0.002907 0.018411 0.024225 0.030039 0.003876 
0.003960 0.000000 0.020792 0.890099 0.000990 0.030693 0.004950 0.021782 0.019802 0.006931 
0.001018 0.005092 0.005092 0.001018 0.920570 0.003055 0.014257 0.001018 0.010183 0.038697 
0.016816 0.003363 0.006726 0.048206 0.020179 0.830717 0.024664 0.011211 0.033632 0.004484 
0.014614 0.003132 0.005219 0.000000 0.007307 0.014614 0.953027 0.002088 0.000000 0.000000 
0.002918 0.017510 0.024319 0.004864 0.015564 0.000973 0.001946 0.900778 0.001946 0.029183 
0.007187 0.005133 0.012320 0.022587 0.013347 0.021561 0.016427 0.011294 0.879877 0.010267 
0.015857 0.007929 0.003964 0.011893 0.040634 0.012884 0.001982 0.015857 0.006938 0.882061 
