train_loss val_loss train_metric val_metric
9.00328264131654981695e-02 8.94534214124548532343e-02 1.31666666666666654084e-01 1.66666666666666657415e-01
9.00266589613116230417e-02 8.94989870364854972484e-02 1.28333333333333327042e-01 1.66666666666666657415e-01
9.00413462692032789958e-02 8.97319273125285754578e-02 1.28333333333333327042e-01 1.66666666666666657415e-01
8.99852970788670575297e-02 8.93696962902602032308e-02 1.26666666666666677399e-01 1.66666666666666657415e-01
8.99771383531113994048e-02 8.94777969221456082050e-02 1.26666666666666677399e-01 1.66666666666666657415e-01
9.00658717437890221635e-02 8.93810422560260414704e-02 1.31666666666666654084e-01 1.66666666666666657415e-01
9.00473785124121933743e-02 8.94010385936971768706e-02 1.28333333333333327042e-01 1.66666666666666657415e-01
9.00303489984958654757e-02 8.95517155595178110383e-02 1.25000000000000000000e-01 1.66666666666666657415e-01
8.99639998968898152443e-02 8.97503972395262139550e-02 1.33333333333333331483e-01 1.00000000000000005551e-01
9.00733156065178924843e-02 8.96166565668340131534e-02 1.19999999999999995559e-01 1.66666666666666657415e-01
9.00135331437152824696e-02 8.94981367126938681666e-02 1.28333333333333327042e-01 1.66666666666666657415e-01
9.00275971304519001537e-02 8.94559170307479972761e-02 1.33333333333333331483e-01 1.66666666666666657415e-01
9.00069251132849940111e-02 8.95145924473874365912e-02 1.33333333333333331483e-01 1.66666666666666657415e-01
