train_loss val_loss train_metric val_metric
9.62772811742480943975e-02 9.10818023634551443557e-02 1.31666666666666654084e-01 1.66666666666666657415e-01
9.15977032690681730598e-02 8.98262615417520227101e-02 1.31666666666666654084e-01 1.66666666666666657415e-01
9.07641579224281042082e-02 8.97488198551390781166e-02 1.31666666666666654084e-01 1.66666666666666657415e-01
9.04556317532985987295e-02 8.99165830743564736816e-02 1.31666666666666654084e-01 1.66666666666666657415e-01
9.04905593781681061305e-02 8.96980364344163449974e-02 1.31666666666666654084e-01 1.66666666666666657415e-01
9.03731221535091777675e-02 8.99165541797701944882e-02 1.31666666666666654084e-01 1.66666666666666657415e-01
9.03261470501844909720e-02 8.94861586728278590730e-02 1.31666666666666654084e-01 1.66666666666666657415e-01
9.02788869489155876291e-02 8.95003285820648308846e-02 1.31666666666666654084e-01 1.66666666666666657415e-01
9.02276700616622961970e-02 8.95066863053971262243e-02 1.31666666666666654084e-01 1.66666666666666657415e-01
9.02286718085392597244e-02 8.94104453127147480451e-02 1.31666666666666654084e-01 1.66666666666666657415e-01
9.01520536031704539104e-02 8.95636126203596810713e-02 1.31666666666666654084e-01 1.66666666666666657415e-01
9.01673663820993093188e-02 8.95796992639264905156e-02 1.31666666666666654084e-01 1.66666666666666657415e-01
9.00853242703665152424e-02 8.95142269681391683500e-02 1.26666666666666677399e-01 1.66666666666666657415e-01
9.01205097047558523204e-02 8.95804105148506335521e-02 1.31666666666666654084e-01 1.66666666666666657415e-01
9.00740534787715929621e-02 8.95177735214567754651e-02 1.31666666666666654084e-01 1.66666666666666657415e-01
9.00586047037309905816e-02 8.93688598824020768996e-02 1.31666666666666654084e-01 1.66666666666666657415e-01
9.00408309503557408027e-02 8.94672160144135003579e-02 1.26666666666666677399e-01 1.66666666666666657415e-01
9.00503387239342673043e-02 8.95898483188612565487e-02 1.30000000000000004441e-01 1.66666666666666657415e-01
8.99990685576736171303e-02 8.95331928275474447920e-02 1.30000000000000004441e-01 1.66666666666666657415e-01
9.00460594253460200331e-02 8.94439883478834324437e-02 1.31666666666666654084e-01 1.66666666666666657415e-01
9.00286281500035090453e-02 8.93442981675101194350e-02 1.31666666666666654084e-01 1.66666666666666657415e-01
9.00153539487534432029e-02 8.93113416105147106538e-02 1.28333333333333327042e-01 1.66666666666666657415e-01
9.00205044781551555477e-02 8.94911381178354614629e-02 1.28333333333333327042e-01 1.66666666666666657415e-01
9.00349842283064416559e-02 8.94162995642013846975e-02 1.25000000000000000000e-01 1.66666666666666657415e-01
9.00230999222745853494e-02 8.94124859612429045974e-02 1.21666666666666672958e-01 1.66666666666666657415e-01
8.99799198546002571009e-02 8.92864562773068998203e-02 1.26666666666666677399e-01 1.66666666666666657415e-01
8.99472922426300391940e-02 8.99180553821172928730e-02 1.31666666666666654084e-01 1.66666666666666657415e-01
9.00400027729168495050e-02 8.95441178794259967644e-02 1.21666666666666672958e-01 1.66666666666666657415e-01
9.00329005892186173821e-02 8.96607814469440739247e-02 1.28333333333333327042e-01 1.66666666666666657415e-01
9.00106438051694185409e-02 8.94373513298325761856e-02 1.31666666666666654084e-01 1.66666666666666657415e-01
9.00320258649198040812e-02 8.94446849974474683664e-02 1.23333333333333336479e-01 1.66666666666666657415e-01
9.00214982635316046666e-02 8.94765231507497621477e-02 1.31666666666666654084e-01 1.66666666666666657415e-01
9.00376357473643834650e-02 8.94539130127027931616e-02 1.30000000000000004441e-01 1.66666666666666657415e-01
9.00137258808953039102e-02 8.95935966331114219674e-02 1.26666666666666677399e-01 1.66666666666666657415e-01
9.00365116999789633079e-02 8.94167848587881231026e-02 1.30000000000000004441e-01 1.66666666666666657415e-01
9.00174459901582346699e-02 8.93416285503059043327e-02 1.30000000000000004441e-01 1.66666666666666657415e-01
9.00199479966293930611e-02 8.96570533305772465749e-02 1.28333333333333327042e-01 1.66666666666666657415e-01
9.00537970537815396499e-02 8.96168452159533390766e-02 1.30000000000000004441e-01 1.66666666666666657415e-01
9.00492920909856803258e-02 8.94941354490088603058e-02 1.31666666666666654084e-01 1.66666666666666657415e-01
9.00046596288956585186e-02 8.94435437491953866385e-02 1.30000000000000004441e-01 1.66666666666666657415e-01
9.00413156437470107996e-02 8.92630041404045421194e-02 1.19999999999999995559e-01 1.66666666666666657415e-01
9.00227451015396390455e-02 8.95729246921873195619e-02 1.28333333333333327042e-01 1.66666666666666657415e-01
9.00231488557776127202e-02 8.95129379895822363533e-02 1.26666666666666677399e-01 1.66666666666666657415e-01
9.00394850669762603079e-02 8.95399918550242729376e-02 1.23333333333333336479e-01 1.66666666666666657415e-01
9.00289228489539045119e-02 8.94681068007068813763e-02 1.31666666666666654084e-01 1.66666666666666657415e-01
9.00462404330618082504e-02 8.92763578906000943025e-02 1.28333333333333327042e-01 1.66666666666666657415e-01
9.00392083163886469688e-02 8.95763626605586699148e-02 1.23333333333333336479e-01 1.66666666666666657415e-01
9.00253044480402997429e-02 8.93310842502657159736e-02 1.30000000000000004441e-01 1.66666666666666657415e-01
9.00250687755329292994e-02 8.92921555336753797194e-02 1.18333333333333332038e-01 1.66666666666666657415e-01
9.00099770449383912441e-02 8.95336309485215281478e-02 1.23333333333333336479e-01 1.66666666666666657415e-01
